fecha,horas_trabajadas,viajes_total,ton_total
2019-09-01,0.0,0.0,0.0
2019-09-02,23.0,56.0,1140.0
2019-09-03,21.0,82.0,1602.0
2019-09-04,19.0,87.0,1656.0
2019-09-05,18.5,86.0,1677.0
2019-09-06,17.5,89.0,1737.0
2019-09-07,4.0,0.0,0.0
2019-09-08,4.5,0.0,0.0
2019-09-09,11.0,61.0,1191.0
2019-09-10,17.0,93.0,1791.0
2019-09-11,20.5,125.0,2172.0
2019-09-12,13.0,96.0,1869.0
2019-09-13,15.0,99.0,1704.0
2019-09-14,0.0,0.0,0.0
2019-09-15,0.0,0.0,0.0
2019-09-16,10.0,72.0,1236.0
2019-09-17,7.0,65.0,1326.0
2019-09-18,11.0,113.0,2133.0
2019-09-19,24.0,59.0,1374.0
2019-09-20,21.5,59.0,1287.0
2019-09-21,0.0,0.0,0.0
2019-09-22,0.0,0.0,0.0
2019-09-23,20.5,78.0,1737.0
2019-09-24,18.0,131.0,2451.0
2019-09-25,17.5,82.0,1571.0
2019-09-26,31.0,125.0,2488.0
2019-09-27,32.0,103.0,2064.0
2019-09-28,0.0,0.0,0.0
2019-09-29,0.0,0.0,0.0
2019-09-30,11.0,82.0,1667.0
2019-10-01,13.5,60.0,1287.0
2019-10-02,17.5,55.0,1254.0
2019-10-03,25.0,83.0,1878.0
2019-10-04,9.0,62.0,1416.0
2019-10-05,0.0,0.0,0.0
2019-10-06,0.0,0.0,0.0
2019-10-07,19.5,67.0,1542.0
2019-10-08,20.5,67.0,1581.0
2019-10-09,16.0,57.0,1263.0
2019-10-10,15.0,63.0,1356.0
2019-10-11,23.5,76.0,1656.0
2019-10-12,0.0,0.0,0.0
2019-10-13,0.0,0.0,0.0
2019-10-14,14.0,71.0,1536.0
2019-10-15,15.5,80.0,1713.0
2019-10-16,11.0,89.0,1776.0
2019-10-17,18.0,96.0,1836.0
2019-10-18,23.0,90.0,1890.0
2019-10-19,7.0,0.0,0.0
2019-10-20,0.0,0.0,0.0
2019-10-21,2.0,0.0,0.0
2019-10-22,14.0,64.0,1389.0
2019-10-23,24.0,67.0,1425.0
2019-10-24,19.0,69.0,1539.0
2019-10-25,28.0,70.0,1533.0
2019-10-26,4.0,0.0,0.0
2019-10-27,0.0,0.0,0.0
2019-10-28,18.0,37.0,882.0
2019-10-29,19.0,54.0,1242.0
2019-10-30,19.0,69.0,1488.0
2019-10-31,22.0,79.0,1572.0
2019-11-01,20.5,53.0,1092.0
2019-11-02,0.0,0.0,0.0
2019-11-03,0.0,0.0,0.0
2019-11-04,29.0,93.0,1602.0
2019-11-05,30.5,95.0,1635.0
2019-11-06,13.0,59.0,1050.0
2019-11-07,26.0,73.0,1362.0
2019-11-08,28.0,84.0,1623.0
2019-11-09,0.0,0.0,0.0
2019-11-10,0.0,0.0,0.0
2019-11-11,30.0,103.0,2076.0
2019-11-12,24.0,127.0,2460.0
2019-11-13,23.0,109.0,2157.0
2019-11-14,15.0,91.0,1899.0
2019-11-15,19.5,94.0,1785.0
2019-11-16,0.0,0.0,0.0
2019-11-17,0.0,0.0,0.0
2019-11-18,19.0,63.0,1359.0
2019-11-19,25.0,83.0,1722.0
2019-11-20,32.0,103.0,1971.0
2019-11-21,39.0,105.0,2103.0
2019-11-22,33.5,123.0,2340.0
2019-11-23,0.0,0.0,0.0
2019-11-24,0.0,0.0,0.0
2019-11-25,33.0,90.0,1806.0
2019-11-26,31.5,109.0,1866.0
2019-11-27,38.5,67.0,1332.0
2019-11-28,46.0,94.0,1839.0
2019-11-29,13.0,74.0,1599.0
2019-11-30,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0
2019-12-02,0.0,0.0,0.0
2019-12-03,0.0,0.0,0.0
2019-12-04,0.0,0.0,0.0
2019-12-05,0.0,0.0,0.0
2019-12-06,0.0,0.0,0.0
2019-12-07,0.0,0.0,0.0
2019-12-08,0.0,0.0,0.0
2019-12-09,0.0,0.0,0.0
2019-12-10,0.0,0.0,0.0
2019-12-11,0.0,0.0,0.0
2019-12-12,0.0,0.0,0.0
2019-12-13,0.0,0.0,0.0
2019-12-14,0.0,0.0,0.0
2019-12-15,0.0,0.0,0.0
2019-12-16,0.0,0.0,0.0
2019-12-17,0.0,0.0,0.0
